handle,field,default content (en),translated content (ar)
lego-note-book-and-pen-3,title,LEGO Notebook & Pen Set — Style 3,طقم هدية LEGO تصميم ٣ — Notebook & Pen Set
lego-note-book-and-pen-3,body_html,"<p>LEGO Notebook & Pen Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From LEGO.</p>",<p>طقم هدية LEGO تصميم ٣ — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
lego-note-book-and-pen-4,title,LEGO Notebook & Pen Set — Style 4,طقم هدية LEGO تصميم ٤
lego-note-book-and-pen-4,body_html,"<p>LEGO Notebook & Pen Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From LEGO.</p>",<p>طقم هدية LEGO تصميم ٤ — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
lego-note-book-and-pen-5,title,LEGO Notebook & Pen Set — Style 5,طقم هدية LEGO تصميم ٥
lego-note-book-and-pen-5,body_html,"<p>LEGO Notebook & Pen Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From LEGO.</p>",<p>طقم هدية LEGO تصميم ٥ — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
lego-3pcs-pen,title,LEGO Pens — 3 Pieces,قلم LEGO ٣ قطعة
lego-3pcs-pen,body_html,"<p>LEGO Pens — 3 Pieces for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike. From LEGO.</p>",<p>قلم LEGO ٣ قطعة لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
lego-10pcs-marker-2,title,"LEGO Markers — 10 Pieces, Style 2",أقلام ماركر LEGO ١٠ قطعة تصميم ٢
lego-10pcs-marker-2,body_html,"<p>LEGO Markers — 10 Pieces, Style 2 for bold lines and bright colouring.</p><p>Great for posters, projects and creative time with the kids. From LEGO.</p>",<p>أقلام ماركر LEGO ١٠ قطعة تصميم ٢ لخطوط جريئة وتلوين مشرق.</p><p>مناسب للملصقات والمشاريع وأوقات الإبداع مع الأطفال.</p>
lego-note-book-and-pen-6,title,LEGO Notebook & Pen Set — Style 6,طقم هدية LEGO تصميم ٦
lego-note-book-and-pen-6,body_html,"<p>LEGO Notebook & Pen Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From LEGO.</p>",<p>طقم هدية LEGO تصميم ٦ — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
lego-pal-pen,title,LEGO Pal Pen — Style 1,قلم LEGO تصميم ١
lego-pal-pen,body_html,"<p>LEGO Pal Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike. From LEGO.</p>",<p>قلم LEGO تصميم ١ لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
lego-pal-pen-2,title,LEGO Pal Pen — Style 2,قلم LEGO تصميم ٢
lego-pal-pen-2,body_html,"<p>LEGO Pal Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike. From LEGO.</p>",<p>قلم LEGO تصميم ٢ لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
lego-pal-pen-3,title,LEGO Pal Pen — Style 3,قلم LEGO تصميم ٣
lego-pal-pen-3,body_html,"<p>LEGO Pal Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike. From LEGO.</p>",<p>قلم LEGO تصميم ٣ لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
lego-mini-fugures-sticky-note,title,LEGO Minifigures Sticky Notes,ملاحظات لاصقة LEGO — Minifigures Sticky Notes
lego-mini-fugures-sticky-note,body_html,"<p>LEGO Minifigures Sticky Notes for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners. From LEGO.</p>",<p>ملاحظات لاصقة LEGO للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
lego-space-sticky-note,title,LEGO Space Sticky Notes,ملاحظات لاصقة LEGO — Space Sticky Notes
lego-space-sticky-note,body_html,"<p>LEGO Space Sticky Notes for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners. From LEGO.</p>",<p>ملاحظات لاصقة LEGO للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
lego-ruler,title,LEGO Ruler,مسطرة LEGO
lego-ruler,body_html,"<p>LEGO Ruler for accurate measuring and clean lines.</p><p>Made for pencil cases, drawing boards and toolboxes. From LEGO.</p>",<p>مسطرة LEGO لقياس دقيق وخطوط نظيفة.</p><p>لأدوات الهندسة والمقلمة وصندوق العدة.</p>
lego-creativity-set,title,LEGO Creativity Stationery Set — Style 1,طقم هدية LEGO تصميم ١ — Creativity Stationery Set
lego-creativity-set,body_html,"<p>LEGO Creativity Stationery Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From LEGO.</p>",<p>طقم هدية LEGO تصميم ١ — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
lego-creativity-set-2,title,LEGO Creativity Stationery Set — Style 2,طقم هدية LEGO تصميم ٢ — Creativity Stationery Set
lego-creativity-set-2,body_html,"<p>LEGO Creativity Stationery Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From LEGO.</p>",<p>طقم هدية LEGO تصميم ٢ — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
lego-creativity-set-3,title,LEGO Creativity Stationery Set — Style 3,طقم هدية LEGO تصميم ٣ — Creativity Stationery Set
lego-creativity-set-3,body_html,"<p>LEGO Creativity Stationery Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From LEGO.</p>",<p>طقم هدية LEGO تصميم ٣ — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
lego-combination-lock-diary-set,title,LEGO Diary Set with Combination Lock,طقم هدية LEGO — Diary Set with Combination Lock
lego-combination-lock-diary-set,body_html,"<p>LEGO Diary Set with Combination Lock — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From LEGO.</p>",<p>طقم هدية LEGO — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
limited-campus-sisors,title,Kokuyo Campus Scissors — Limited Edition,مقص Campus من Kokuyo
limited-campus-sisors,body_html,"<p>Kokuyo Campus Scissors — Limited Edition that cut cleanly and feel comfortable in hand.</p><p>Suits paper craft, school projects and everyday desk jobs. From Kokuyo.</p>",<p>مقص Campus من Kokuyo يقص بدقة وبقبضة مريحة.</p><p>يناسب أعمال الورق والمشاريع المدرسية ومهام المكتب اليومية.</p>
elephant-eraser-and-highlighter,title,Elephant Eraser and Highlighter,طقم هدية من Elephant
elephant-eraser-and-highlighter,body_html,"<p>Elephant Eraser and Highlighter — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From Elephant.</p>",<p>طقم هدية من Elephant — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
karu-cut-tape-cutter-bage,title,Kokuyo Karu Cut Washi Tape Cutter — Beige,شريط واشي Karu Cut بيج
karu-cut-tape-cutter-bage,body_html,"<p>Kokuyo Karu Cut Washi Tape Cutter — Beige — decorative paper tape that tears by hand and repositions without marking.</p><p>Perfect for journals, gift wrapping and craft projects. A little roll that makes everything prettier.</p>",<p>شريط واشي Karu Cut بيج — شريط ورقي مزخرف يُقص باليد ويُعاد لصقه دون أن يترك أثرًا.</p><p>مثالي لتزيين الدفاتر وتغليف الهدايا وأعمال الكرافت.</p>
karu-cut-tape-cutter-yellow,title,Kokuyo Karu Cut Washi Tape Cutter — Yellow,شريط واشي Karu Cut أصفر
karu-cut-tape-cutter-yellow,body_html,"<p>Kokuyo Karu Cut Washi Tape Cutter — Yellow — decorative paper tape that tears by hand and repositions without marking.</p><p>Perfect for journals, gift wrapping and craft projects. A little roll that makes everything prettier.</p>",<p>شريط واشي Karu Cut أصفر — شريط ورقي مزخرف يُقص باليد ويُعاد لصقه دون أن يترك أثرًا.</p><p>مثالي لتزيين الدفاتر وتغليف الهدايا وأعمال الكرافت.</p>
karu-cut-tape-cutter-blue,title,Kokuyo Karu Cut Washi Tape Cutter — Blue,شريط واشي Karu Cut أزرق
karu-cut-tape-cutter-blue,body_html,"<p>Kokuyo Karu Cut Washi Tape Cutter — Blue — decorative paper tape that tears by hand and repositions without marking.</p><p>Perfect for journals, gift wrapping and craft projects. A little roll that makes everything prettier.</p>",<p>شريط واشي Karu Cut أزرق — شريط ورقي مزخرف يُقص باليد ويُعاد لصقه دون أن يترك أثرًا.</p><p>مثالي لتزيين الدفاتر وتغليف الهدايا وأعمال الكرافت.</p>
mideer-pease-crayons,title,Mideer Pease Crayons,ألوان شمعية من Mideer
mideer-pease-crayons,body_html,"<p>Mideer Pease Crayons — bold, easy-grip colour for little hands.</p><p>Ideal for toddlers and young artists at home or nursery. From Mideer.</p>",<p>ألوان شمعية من Mideer — ألوان جريئة بقبضة سهلة للأيدي الصغيرة.</p><p>مثالية للصغار في البيت أو الحضانة.</p>
clixo-x-timothy-good-man-9pcs,title,Clixo × Timothy Goodman Magnetic Building Set — 9 Pieces,طقم Clixo ٩ قطعة
clixo-x-timothy-good-man-9pcs,body_html,<p>Clixo × Timothy Goodman Magnetic Building Set — 9 Pieces — a matched set that works together.</p><p>More useful (and better value) than buying the pieces separately. From Clixo.</p>,<p>طقم Clixo ٩ قطعة — طقم متكامل تعمل قطعه معًا.</p><p>أكثر فائدة وأفضل قيمة من شراء القطع متفرقة.</p>
muji-double-ring-notebook,title,Muji Double Ring Notebook,دفتر من Muji
muji-double-ring-notebook,body_html,"<p>Muji Double Ring Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Muji.</p>",<p>دفتر من Muji للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
chicro-large-leather-pencil-pink-and-per,title,Chica Ro Large Leather Pencil Case — Pink,مقلمة وردي من Chica Ro
chicro-large-leather-pencil-pink-and-per,body_html,"<p>Chica Ro Large Leather Pencil Case — Pink to keep pens, pencils and small tools together.</p><p>Fits neatly in a school bag or on a desk — no more hunting for the sharpener. From Chica Ro.</p>",<p>مقلمة وردي من Chica Ro لتجميع الأقلام والأدوات الصغيرة في مكان واحد.</p><p>يدخل حقيبة المدرسة بسهولة — ولا مزيد من البحث عن البراية.</p>
adel-soft-eraser-2,title,Adel Soft Eraser — Style 2,ممحاة تصميم ٢ من Adel
adel-soft-eraser-2,body_html,<p>Adel Soft Eraser that rubs out cleanly without tearing the page.</p><p>One of those small things every pencil case needs. From Adel.</p>,<p>ممحاة تصميم ٢ من Adel يمسح بنظافة دون إتلاف الورقة.</p><p>من الأشياء الصغيرة التي تحتاجها كل مقلمة.</p>
diy-your-own-slime,title,DIY Slime Making Kit,طقم
diy-your-own-slime,body_html,"<p>DIY Slime Making Kit with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts.</p>",<p>طقم بكل ما تحتاجه في علبة واحدة.</p><p>نشاط جاهز لنهايات الأسبوع والإجازات والهدايا.</p>
y-plus-eraser-pen,title,Y.Plus Eraser Pen,ممحاة من Y.Plus — Eraser Pen
y-plus-eraser-pen,body_html,<p>Y.Plus Eraser Pen that rubs out cleanly without tearing the page.</p><p>One of those small things every pencil case needs. From Y.Plus.</p>,<p>ممحاة من Y.Plus يمسح بنظافة دون إتلاف الورقة.</p><p>من الأشياء الصغيرة التي تحتاجها كل مقلمة.</p>
hello-kitty-pen,title,Hello Kitty Pen,قلم Hello Kitty
hello-kitty-pen,body_html,"<p>Hello Kitty Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike.</p>",<p>قلم Hello Kitty لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
neon-snap-bracelets,title,Neon Snap Bracelets Set,طقم هدية نيون
neon-snap-bracelets,body_html,"<p>Neon Snap Bracelets Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous.</p>",<p>طقم هدية نيون — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
milly-and-cat-note-book,title,Milly and Cat Note Book — Style 1,كتاب تصميم ١
milly-and-cat-note-book,body_html,<p>Milly and Cat Note Book — facts and fun between two covers.</p><p>A lovely gift for curious readers.</p>,<p>كتاب تصميم ١ — معلومات ومتعة بين غلافين.</p><p>هدية جميلة لكل قارئ فضولي.</p>
one-pice-sabo-note-book,title,One Piece Sabo Notebook,دفتر One Piece — Piece Sabo Notebook
one-pice-sabo-note-book,body_html,"<p>One Piece Sabo Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table.</p>",<p>دفتر One Piece للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
one-pice-ace-note-book,title,One Piece Ace Notebook,دفتر One Piece — Piece Ace Notebook
one-pice-ace-note-book,body_html,"<p>One Piece Ace Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table.</p>",<p>دفتر One Piece للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
milly-and-cat-note-book-2,title,Milly and Cat Note Book — Style 2,كتاب تصميم ٢
milly-and-cat-note-book-2,body_html,<p>Milly and Cat Note Book — facts and fun between two covers.</p><p>A lovely gift for curious readers.</p>,<p>كتاب تصميم ٢ — معلومات ومتعة بين غلافين.</p><p>هدية جميلة لكل قارئ فضولي.</p>
masterart-blacklead-pencil,title,Masterart Black-Lead Pencils — Style 1,قلم رصاص تصميم ١ أسود من Masterart
masterart-blacklead-pencil,body_html,<p>Masterart Black-Lead Pencils for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly. From Masterart.</p>,<p>قلم رصاص تصميم ١ أسود من Masterart للكتابة والرسم.</p><p>أساسي في كل مقلمة — يُبرى بسهولة ويكتب بسلاسة.</p>
jiehui-cube-3nd,title,Jiehui Magic Cube Puzzle,لغز من Jiehuitoys
jiehui-cube-3nd,body_html,"<p>Jiehui Magic Cube Puzzle to twist, solve and master.</p><p>Builds patience and problem-solving — dangerously moreish. From Jiehuitoys.</p>",<p>لغز من Jiehuitoys للحل والإتقان.</p><p>ينمّي الصبر ومهارات الحل — وإدمانه لطيف.</p>
cube-magic,title,Magic Cube Puzzle,لغز من Ledongzhan
cube-magic,body_html,"<p>Magic Cube Puzzle to twist, solve and master.</p><p>Builds patience and problem-solving — dangerously moreish. From Ledongzhan.</p>",<p>لغز من Ledongzhan للحل والإتقان.</p><p>ينمّي الصبر ومهارات الحل — وإدمانه لطيف.</p>
minicombination-lock-book-kuromi,title,Kuromi Mini Notebook with Combination Lock,طقم هدية Kuromi
minicombination-lock-book-kuromi,body_html,"<p>Kuromi Mini Notebook with Combination Lock — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous.</p>",<p>طقم هدية Kuromi — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
bsoku-super-light-clay,title,Baoku Super Light Modelling Clay,صلصال من Baoku
bsoku-super-light-clay,body_html,"<p>Baoku Super Light Modelling Clay — soft, colourful and easy to shape.</p><p>Hours of screen-free making for kids; air-dries into keepable little creations. From Baoku.</p>",<p>صلصال من Baoku — طري وملون وسهل التشكيل.</p><p>ساعات من اللعب الإبداعي بعيدًا عن الشاشات، ويجف ليتحول إلى مجسمات تُحفظ.</p>
masterart-blacklead-pencil-2,title,Masterart Black-Lead Pencils — Style 2,قلم رصاص تصميم ٢ أسود من Masterart
masterart-blacklead-pencil-2,body_html,<p>Masterart Black-Lead Pencils for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly. From Masterart.</p>,<p>قلم رصاص تصميم ٢ أسود من Masterart للكتابة والرسم.</p><p>أساسي في كل مقلمة — يُبرى بسهولة ويكتب بسلاسة.</p>
flamingo-erasable-color-pencils-72-colors,title,Flamingo Erasable Colour Pencils — 72 Colours,أقلام تلوين خشبية ٧٢ لونًا من Flamingo
flamingo-erasable-color-pencils-72-colors,body_html,"<p>Flamingo Erasable Colour Pencils — 72 Colours for smooth, vivid colouring.</p><p>A solid choice for school bags and home art corners — easy to sharpen and comfortable to hold. From Flamingo.</p>",<p>أقلام تلوين خشبية ٧٢ لونًا من Flamingo لتلوين ناعم بألوان زاهية.</p><p>خيار ممتاز لحقيبة المدرسة وركن الرسم في البيت.</p>
paint-your-own-squishy-animal-park,title,Asia Books Paint Your Own Squishy Animal Park,ألوان مائية من Asia Books — Books Paint Your Own Squishy Animal Park
paint-your-own-squishy-animal-park,body_html,"<p>Asia Books Paint Your Own Squishy Animal Park for bright, easy painting sessions.</p><p>Suits school projects and weekend art at home — just add water and paper. From Asia Books.</p>",<p>ألوان مائية من Asia Books لجلسات رسم مشرقة وسهلة.</p><p>يناسب مشاريع المدرسة وهوايات نهاية الأسبوع — فقط أضف الماء والورق.</p>
paint-your-own-squishy-dinosaur-land,title,Asia Books Paint Your Own Squishy Dinosaur Land,ألوان مائية من Asia Books — Books Paint Your Own Squishy Dinosaur Land
paint-your-own-squishy-dinosaur-land,body_html,"<p>Asia Books Paint Your Own Squishy Dinosaur Land for bright, easy painting sessions.</p><p>Suits school projects and weekend art at home — just add water and paper. From Asia Books.</p>",<p>ألوان مائية من Asia Books لجلسات رسم مشرقة وسهلة.</p><p>يناسب مشاريع المدرسة وهوايات نهاية الأسبوع — فقط أضف الماء والورق.</p>
dino-crafts,title,Asia Books Dino Crafts,مستلزمات كرافت من Asia Books
dino-crafts,body_html,"<p>Asia Books Dino Crafts for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Asia Books.</p>",<p>مستلزمات كرافت من Asia Books لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
reward-chart-and-sticker,title,Reward Chart & Sticker Set — Style 1,طقم هدية تصميم ١ من Asia Books
reward-chart-and-sticker,body_html,"<p>Reward Chart & Sticker Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From Asia Books.</p>",<p>طقم هدية تصميم ١ من Asia Books — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
reward-chart-and-sticker-2,title,Reward Chart & Sticker Set — Style 2,طقم هدية تصميم ٢ من Asia Books
reward-chart-and-sticker-2,body_html,"<p>Reward Chart & Sticker Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From Asia Books.</p>",<p>طقم هدية تصميم ٢ من Asia Books — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
yq-rulur,title,YQ Ruler,مسطرة من YQ
yq-rulur,body_html,"<p>YQ Ruler for accurate measuring and clean lines.</p><p>Made for pencil cases, drawing boards and toolboxes. From YQ.</p>",<p>مسطرة من YQ لقياس دقيق وخطوط نظيفة.</p><p>لأدوات الهندسة والمقلمة وصندوق العدة.</p>
black-wood-triangle-pencil,title,FIS Black Wood Triangular Pencil,قلم رصاص أسود من FIS
black-wood-triangle-pencil,body_html,<p>FIS Black Wood Triangular Pencil for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly. From FIS.</p>,<p>قلم رصاص أسود من FIS للكتابة والرسم.</p><p>أساسي في كل مقلمة — يُبرى بسهولة ويكتب بسلاسة.</p>
kurumi-pencils,title,Kuromi Pencils,قلم رصاص Kuromi
kurumi-pencils,body_html,<p>Kuromi Pencils for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly.</p>,<p>قلم رصاص Kuromi للكتابة والرسم.</p><p>أساسي في كل مقلمة — يُبرى بسهولة ويكتب بسلاسة.</p>
stitch-pencils,title,Stitch Pencils,قلم رصاص Stitch
stitch-pencils,body_html,<p>Stitch Pencils for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly.</p>,<p>قلم رصاص Stitch للكتابة والرسم.</p><p>أساسي في كل مقلمة — يُبرى بسهولة ويكتب بسلاسة.</p>
fis-executive-envelopes-laid-bond-paper,title,FIS Executive Envelopes — Laid Bond Paper,ملف من FIS
fis-executive-envelopes-laid-bond-paper,body_html,"<p>FIS Executive Envelopes — Laid Bond Paper to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From FIS.</p>",<p>ملف من FIS لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
smart-coloring-book-fire-fighters,title,Smart Colouring Book Fire Fighters,كتاب تلوين من Smart
smart-coloring-book-fire-fighters,body_html,"<p>Smart Colouring Book Fire Fighters full of pictures waiting for colour.</p><p>A calm, screen-free activity for young children. From Smart.</p>",<p>كتاب تلوين من Smart بصفحات تنتظر التلوين.</p><p>نشاط هادئ بعيد عن الشاشات للأطفال الصغار.</p>
my-little-pony-erasable-pen,title,My Little Pony Erasable Pen,قلم My Little Pony
my-little-pony-erasable-pen,body_html,"<p>My Little Pony Erasable Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike.</p>",<p>قلم My Little Pony لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
deli-stick-up-glue-gun,title,Deli Stick Up Glue Gun,مسدس شمع من Deli
deli-stick-up-glue-gun,body_html,"<p>Deli Stick Up Glue Gun for quick-setting craft and repair jobs.</p><p>Melts glue sticks fast for card, fabric and decoration projects — adult supervision for young makers. From Deli.</p>",<p>مسدس شمع من Deli لأعمال الكرافت والإصلاحات السريعة.</p><p>يذيب أصابع الغراء بسرعة — بإشراف الكبار للصغار.</p>
neon-colour-activity-set,title,Hinkler Neon Colour Activity Set,كتاب أنشطة نيون من Hinkler
neon-colour-activity-set,body_html,"<p>Hinkler Neon Colour Activity Set packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hinkler.</p>",<p>كتاب أنشطة نيون من Hinkler مليء بأنشطة التلوين والتعلم.</p><p>يشغل العقول الصغيرة في الأمسيات الهادئة والرحلات الطويلة.</p>
colorful-eva-woodlike-blocks-60-pcs,title,Toy Hero Colourful EVA Building Blocks — 60 Pieces,مكعبات بناء ٦٠ قطعة من Toy Hero
colorful-eva-woodlike-blocks-60-pcs,body_html,"<p>Toy Hero Colourful EVA Building Blocks — 60 Pieces for open-ended building play.</p><p>Light, safe pieces that grow imagination and motor skills. From Toy Hero.</p>",<p>مكعبات بناء ٦٠ قطعة من Toy Hero للعب بناء مفتوح النهاية.</p><p>قطع خفيفة وآمنة تنمي الخيال والمهارات الحركية.</p>
experiment-set,title,Hi5 Science Experiment Set,طقم علمي من Hi5 — Science Experiment Set
experiment-set,body_html,"<p>Hi5 Science Experiment Set — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>",<p>طقم علمي من Hi5 — علوم عملية بطعم اللعب.</p><p>يتبع الصغار الخطوات ويرون نتائج حقيقية ويتعلمون السبب.</p>
crystal-growing,title,Hi5 Crystal Growing Kit — Small,طقم علمي من Hi5 — Crystal Growing Kit — Small
crystal-growing,body_html,"<p>Hi5 Crystal Growing Kit — Small — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>",<p>طقم علمي من Hi5 — علوم عملية بطعم اللعب.</p><p>يتبع الصغار الخطوات ويرون نتائج حقيقية ويتعلمون السبب.</p>
magical-molecules,title,Hi5 Magical Molecules Science Kit,طقم علمي من Hi5 — Magical Molecules Science Kit
magical-molecules,body_html,"<p>Hi5 Magical Molecules Science Kit — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>",<p>طقم علمي من Hi5 — علوم عملية بطعم اللعب.</p><p>يتبع الصغار الخطوات ويرون نتائج حقيقية ويتعلمون السبب.</p>
solar-street-lamp,title,Hi5 Solar Street Lamp Science Kit,طقم علمي من Hi5 — Solar Street Lamp Science Kit
solar-street-lamp,body_html,"<p>Hi5 Solar Street Lamp Science Kit — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>",<p>طقم علمي من Hi5 — علوم عملية بطعم اللعب.</p><p>يتبع الصغار الخطوات ويرون نتائج حقيقية ويتعلمون السبب.</p>
wind-up-light,title,Hi5 Wind-Up Light Science Kit,طقم علمي من Hi5 — Wind-Up Light Science Kit
wind-up-light,body_html,"<p>Hi5 Wind-Up Light Science Kit — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>",<p>طقم علمي من Hi5 — علوم عملية بطعم اللعب.</p><p>يتبع الصغار الخطوات ويرون نتائج حقيقية ويتعلمون السبب.</p>
dig-discover-dinosaurs,title,Hi5 Dig & Discover Dinosaurs Kit,طقم من Hi5 — Dig & Discover Dinosaurs Kit
dig-discover-dinosaurs,body_html,"<p>Hi5 Dig & Discover Dinosaurs Kit with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>",<p>طقم من Hi5 بكل ما تحتاجه في علبة واحدة.</p><p>نشاط جاهز لنهايات الأسبوع والإجازات والهدايا.</p>
zap-build-your-own-super-rockets,title,Hi5 ZAP! Build Your Own Super Rockets Kit,طقم علمي ZAP! من Hi5 — ZAP! Build Your Own Super Rockets Kit
zap-build-your-own-super-rockets,body_html,"<p>Hi5 ZAP! Build Your Own Super Rockets Kit — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>",<p>طقم علمي ZAP! من Hi5 — علوم عملية بطعم اللعب.</p><p>يتبع الصغار الخطوات ويرون نتائج حقيقية ويتعلمون السبب.</p>
fidget-toy-creation-lab,title,Hi5 Fidget Toy Creation Lab,طقم من Hi5 — Fidget Toy Creation Lab
fidget-toy-creation-lab,body_html,"<p>Hi5 Fidget Toy Creation Lab with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>",<p>طقم من Hi5 بكل ما تحتاجه في علبة واحدة.</p><p>نشاط جاهز لنهايات الأسبوع والإجازات والهدايا.</p>
