Handle,Title,Body (HTML),Tags
karu-cut-tape-cutter-yellow,Kokuyo Karu Cut Washi Tape Cutter — Yellow,"<p>Kokuyo Karu Cut Washi Tape Cutter — Yellow — decorative paper tape that tears by hand and repositions without marking.</p><p>Perfect for journals, gift wrapping and craft projects. A little roll that makes everything prettier.</p>","washi tape, craft, journaling, Desk & Tools"
karu-cut-tape-cutter-blue,Kokuyo Karu Cut Washi Tape Cutter — Blue,"<p>Kokuyo Karu Cut Washi Tape Cutter — Blue — decorative paper tape that tears by hand and repositions without marking.</p><p>Perfect for journals, gift wrapping and craft projects. A little roll that makes everything prettier.</p>","washi tape, craft, journaling, Desk & Tools"
mideer-pease-crayons,Mideer Pease Crayons,"<p>Mideer Pease Crayons — bold, easy-grip colour for little hands.</p><p>Ideal for toddlers and young artists at home or nursery. From Mideer.</p>","crayons, colouring, kids, mideer, Art & Craft"
clixo-x-timothy-good-man-9pcs,Clixo × Timothy Goodman Magnetic Building Set — 9 Pieces,<p>Clixo × Timothy Goodman Magnetic Building Set — 9 Pieces — a matched set that works together.</p><p>More useful (and better value) than buying the pieces separately. From Clixo.</p>,"set, stationery, gift, clixo, Art & Craft"
muji-double-ring-notebook,Muji Double Ring Notebook,"<p>Muji Double Ring Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Muji.</p>","notebook, writing, school, office, muji, Notebooks & Books"
chicro-large-leather-pencil-pink-and-per,Chica Ro Large Leather Pencil Case — Pink,"<p>Chica Ro Large Leather Pencil Case — Pink to keep pens, pencils and small tools together.</p><p>Fits neatly in a school bag or on a desk — no more hunting for the sharpener. From Chica Ro.</p>","pencil case, organizer, school, chica ro, Pens & Pencils"
adel-soft-eraser-2,Adel Soft Eraser — Style 2,<p>Adel Soft Eraser that rubs out cleanly without tearing the page.</p><p>One of those small things every pencil case needs. From Adel.</p>,"eraser, school, stationery, adel, Desk & Tools"
diy-your-own-slime,DIY Slime Making Kit,"<p>DIY Slime Making Kit with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts.</p>","kit, activity, gift, Art & Craft"
y-plus-eraser-pen,Y.Plus Eraser Pen,<p>Y.Plus Eraser Pen that rubs out cleanly without tearing the page.</p><p>One of those small things every pencil case needs. From Y.Plus.</p>,"eraser, school, stationery, y.plus, Pens & Pencils"
hello-kitty-pen,Hello Kitty Pen,"<p>Hello Kitty Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike.</p>","pen, writing, school, office, Pens & Pencils"
neon-snap-bracelets,Neon Snap Bracelets Set,"<p>Neon Snap Bracelets Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous.</p>","gift set, gift, bundle, Gift Sets & Bundles"
milly-and-cat-note-book,Milly and Cat Note Book — Style 1,<p>Milly and Cat Note Book — facts and fun between two covers.</p><p>A lovely gift for curious readers.</p>,"book, reading, kids, Notebooks & Books"
one-pice-sabo-note-book,One Piece Sabo Notebook,"<p>One Piece Sabo Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table.</p>","notebook, writing, school, office, Notebooks & Books"
one-pice-ace-note-book,One Piece Ace Notebook,"<p>One Piece Ace Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table.</p>","notebook, writing, school, office, Notebooks & Books"
milly-and-cat-note-book-2,Milly and Cat Note Book — Style 2,<p>Milly and Cat Note Book — facts and fun between two covers.</p><p>A lovely gift for curious readers.</p>,"book, reading, kids, Notebooks & Books"
masterart-blacklead-pencil,Masterart Black-Lead Pencils — Style 1,<p>Masterart Black-Lead Pencils for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly. From Masterart.</p>,"pencil, writing, school, masterart, Pens & Pencils"
jiehui-cube-3nd,Jiehui Magic Cube Puzzle,"<p>Jiehui Magic Cube Puzzle to twist, solve and master.</p><p>Builds patience and problem-solving — dangerously moreish. From Jiehuitoys.</p>","puzzle, brain teaser, kids, jiehuitoys, Learning & Activity"
cube-magic,Magic Cube Puzzle,"<p>Magic Cube Puzzle to twist, solve and master.</p><p>Builds patience and problem-solving — dangerously moreish. From Ledongzhan.</p>","puzzle, brain teaser, kids, ledongzhan, Learning & Activity"
minicombination-lock-book-kuromi,Kuromi Mini Notebook with Combination Lock,"<p>Kuromi Mini Notebook with Combination Lock — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous.</p>","gift set, gift, bundle, Gift Sets & Bundles"
bsoku-super-light-clay,Baoku Super Light Modelling Clay,"<p>Baoku Super Light Modelling Clay — soft, colourful and easy to shape.</p><p>Hours of screen-free making for kids; air-dries into keepable little creations. From Baoku.</p>","clay, modelling, craft, kids, baoku, Art & Craft"
masterart-blacklead-pencil-2,Masterart Black-Lead Pencils — Style 2,<p>Masterart Black-Lead Pencils for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly. From Masterart.</p>,"pencil, writing, school, masterart, Pens & Pencils"
flamingo-erasable-color-pencils-72-colors,Flamingo Erasable Colour Pencils — 72 Colours,"<p>Flamingo Erasable Colour Pencils — 72 Colours for smooth, vivid colouring.</p><p>A solid choice for school bags and home art corners — easy to sharpen and comfortable to hold. From Flamingo.</p>","colour pencils, colouring, art, school, flamingo, Pens & Pencils"
paint-your-own-squishy-animal-park,Asia Books Paint Your Own Squishy Animal Park,"<p>Asia Books Paint Your Own Squishy Animal Park for bright, easy painting sessions.</p><p>Suits school projects and weekend art at home — just add water and paper. From Asia Books.</p>","paint, watercolour, art, kids, asia books, Art & Craft"
paint-your-own-squishy-dinosaur-land,Asia Books Paint Your Own Squishy Dinosaur Land,"<p>Asia Books Paint Your Own Squishy Dinosaur Land for bright, easy painting sessions.</p><p>Suits school projects and weekend art at home — just add water and paper. From Asia Books.</p>","paint, watercolour, art, kids, asia books, Art & Craft"
dino-crafts,Asia Books Dino Crafts,"<p>Asia Books Dino Crafts for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Asia Books.</p>","craft, diy, art supplies, asia books, Art & Craft"
reward-chart-and-sticker,Reward Chart & Sticker Set — Style 1,"<p>Reward Chart & Sticker Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From Asia Books.</p>","gift set, gift, bundle, asia books, Gift Sets & Bundles"
reward-chart-and-sticker-2,Reward Chart & Sticker Set — Style 2,"<p>Reward Chart & Sticker Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From Asia Books.</p>","gift set, gift, bundle, asia books, Gift Sets & Bundles"
yq-rulur,YQ Ruler,"<p>YQ Ruler for accurate measuring and clean lines.</p><p>Made for pencil cases, drawing boards and toolboxes. From YQ.</p>","ruler, measuring, school, yq, Desk & Tools"
black-wood-triangle-pencil,FIS Black Wood Triangular Pencil,<p>FIS Black Wood Triangular Pencil for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly. From FIS.</p>,"pencil, writing, school, fis, Pens & Pencils"
kurumi-pencils,Kuromi Pencils,<p>Kuromi Pencils for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly.</p>,"pencil, writing, school, Pens & Pencils"
stitch-pencils,Stitch Pencils,<p>Stitch Pencils for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly.</p>,"pencil, writing, school, Pens & Pencils"
fis-executive-envelopes-laid-bond-paper,FIS Executive Envelopes — Laid Bond Paper,"<p>FIS Executive Envelopes — Laid Bond Paper to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From FIS.</p>","file, folder, office, organizer, fis, Notebooks & Books"
smart-coloring-book-fire-fighters,Smart Colouring Book Fire Fighters,"<p>Smart Colouring Book Fire Fighters full of pictures waiting for colour.</p><p>A calm, screen-free activity for young children. From Smart.</p>","colouring book, kids, art, smart, Notebooks & Books"
my-little-pony-erasable-pen,My Little Pony Erasable Pen,"<p>My Little Pony Erasable Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike.</p>","pen, writing, school, office, Pens & Pencils"
deli-stick-up-glue-gun,Deli Stick Up Glue Gun,"<p>Deli Stick Up Glue Gun for quick-setting craft and repair jobs.</p><p>Melts glue sticks fast for card, fabric and decoration projects — adult supervision for young makers. From Deli.</p>","glue gun, craft, diy, deli, Art & Craft"
neon-colour-activity-set,Hinkler Neon Colour Activity Set,"<p>Hinkler Neon Colour Activity Set packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hinkler.</p>","activity, kids, learning, hinkler, Learning & Activity"
colorful-eva-woodlike-blocks-60-pcs,Toy Hero Colourful EVA Building Blocks — 60 Pieces,"<p>Toy Hero Colourful EVA Building Blocks — 60 Pieces for open-ended building play.</p><p>Light, safe pieces that grow imagination and motor skills. From Toy Hero.</p>","building blocks, kids, play, toy hero, Learning & Activity"
experiment-set,Hi5 Science Experiment Set,"<p>Hi5 Science Experiment Set — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>","science kit, stem, kids, educational, hi5, Learning & Activity"
crystal-growing,Hi5 Crystal Growing Kit — Small,"<p>Hi5 Crystal Growing Kit — Small — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>","science kit, stem, kids, educational, hi5, Learning & Activity"
magical-molecules,Hi5 Magical Molecules Science Kit,"<p>Hi5 Magical Molecules Science Kit — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>","science kit, stem, kids, educational, hi5, Learning & Activity"
solar-street-lamp,Hi5 Solar Street Lamp Science Kit,"<p>Hi5 Solar Street Lamp Science Kit — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>","science kit, stem, kids, educational, hi5, Learning & Activity"
wind-up-light,Hi5 Wind-Up Light Science Kit,"<p>Hi5 Wind-Up Light Science Kit — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>","science kit, stem, kids, educational, hi5, Learning & Activity"
dig-discover-dinosaurs,Hi5 Dig & Discover Dinosaurs Kit,"<p>Hi5 Dig & Discover Dinosaurs Kit with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>","kit, activity, gift, hi5, Learning & Activity"
zap-build-your-own-super-rockets,Hi5 ZAP! Build Your Own Super Rockets Kit,"<p>Hi5 ZAP! Build Your Own Super Rockets Kit — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>","science kit, stem, kids, educational, hi5, Learning & Activity"
fidget-toy-creation-lab,Hi5 Fidget Toy Creation Lab,"<p>Hi5 Fidget Toy Creation Lab with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>","kit, activity, gift, hi5, Learning & Activity"
crystal-growing-kit,Hi5 Crystal Growing Kit — Large,"<p>Hi5 Crystal Growing Kit — Large — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>","science kit, stem, kids, educational, hi5, Learning & Activity"
zap-bouncy-balls,Hi5 ZAP! Make Your Own Bouncy Balls Kit,"<p>Hi5 ZAP! Make Your Own Bouncy Balls Kit with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>","kit, activity, gift, hi5, Learning & Activity"
zap-extra-diy-putty-lab,Hi5 ZAP! Extra DIY Putty Lab,"<p>Hi5 ZAP! Extra DIY Putty Lab with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>","kit, activity, gift, hi5, Art & Craft"
zap-extra-crystal-world,Hi5 ZAP! Extra Crystal World Kit,"<p>Hi5 ZAP! Extra Crystal World Kit — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>","science kit, stem, kids, educational, hi5, Learning & Activity"
inkredibles-adorable-axolotls-magic-ink,Inkredibles Adorable Axolotls Magic Ink Book,<p>Inkredibles Adorable Axolotls Magic Ink Book — facts and fun between two covers.</p><p>A lovely gift for curious readers. From Hi5.</p>,"book, reading, kids, hi5, Learning & Activity"
building-blocks-puzzle-train-first-alphapet,Hi5 Building Blocks Puzzle Train First Alphabet — Style 1,"<p>Hi5 Building Blocks Puzzle Train First Alphabet to twist, solve and master.</p><p>Builds patience and problem-solving — dangerously moreish. From Hi5.</p>","puzzle, brain teaser, kids, hi5, Learning & Activity"
building-blocks-puzzle-train-first-alphapet-2,Hi5 Building Blocks Puzzle Train First Alphabet — Style 2,"<p>Hi5 Building Blocks Puzzle Train First Alphabet to twist, solve and master.</p><p>Builds patience and problem-solving — dangerously moreish. From Hi5.</p>","puzzle, brain teaser, kids, hi5, Learning & Activity"
zap-pom-pom-friends,Hi5 ZAP! Pom-Pom Friends Kit,"<p>Hi5 ZAP! Pom-Pom Friends Kit with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>","kit, activity, gift, hi5, Learning & Activity"
pom-pom-animal-kit-panda,Hi5 Pom Animal Kit-panda,"<p>Hi5 Pom Animal Kit-panda with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>","kit, activity, gift, hi5, Learning & Activity"
pom-pom-animal-kit-rabbit,Hi5 Pom Animal Kit-rabbit,"<p>Hi5 Pom Animal Kit-rabbit with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>","kit, activity, gift, hi5, Learning & Activity"
pom-pom-animal-kit-alpaca,Hi5 Pom Animal Kit-alpaca,"<p>Hi5 Pom Animal Kit-alpaca with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>","kit, activity, gift, hi5, Learning & Activity"
pom-pom-animal-kit-fox,Hi5 Pom Animal Kit-fox,"<p>Hi5 Pom Animal Kit-fox with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>","kit, activity, gift, hi5, Learning & Activity"
african-adventure-colouring-activity-set,Hi5 African Adventure Colouring & Activity Set,"<p>Hi5 African Adventure Colouring & Activity Set packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Learning & Activity"
discover-the-dinosaurs-colouring-activity-set,Hi5 Discover the Dinosaurs Colouring & Activity Set,"<p>Hi5 Discover the Dinosaurs Colouring & Activity Set packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Learning & Activity"
the-very-hungry-caterpiller-activity-set,The Very Hungry Caterpillar Colouring & Activity Set,"<p>The Very Hungry Caterpillar Colouring & Activity Set packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Learning & Activity"
the-very-hungry-caterpiller-finger-prints,Hi5 The Very Hungry Caterpillar Finger Prints,"<p>Hi5 The Very Hungry Caterpillar Finger Prints packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Learning & Activity"
under-the-sea-finger-prints,Hi5 Under the Sea Finger Prints,"<p>Hi5 Under the Sea Finger Prints packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Learning & Activity"
on-the-farm-finger-prints,Hi5 On the Farm Finger Prints,"<p>Hi5 On the Farm Finger Prints packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi6, Learning & Activity"
magical-rainbowland-finger-prints,Hi5 Magical Rainbowland Finger Prints,"<p>Hi5 Magical Rainbowland Finger Prints packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi7, Learning & Activity"
adorable-axolotls-colouring-activity-set,Hi5 Adorable Axolotls Colouring & Activity Set,"<p>Hi5 Adorable Axolotls Colouring & Activity Set packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Learning & Activity"
zap-kawaii-rock-painting-kiy,Hi5 ZAP! Kawaii Rock Painting Kit,"<p>Hi5 ZAP! Kawaii Rock Painting Kit with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>","kit, activity, gift, hi5, Art & Craft"
zap-frienship-bracelet,Hi5 ZAP! Friendship Bracelet Kit,"<p>Hi5 ZAP! Friendship Bracelet Kit with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>","kit, activity, gift, hi5, Learning & Activity"
my-roar-some-dinosaurs-puzzle-activity-book,Hi5 My Roar-some Dinosaurs Puzzle & Activity Book,"<p>Hi5 My Roar-some Dinosaurs Puzzle & Activity Book packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Learning & Activity"
craft-maker-cross-stitch-kit,Hi5 Craft Maker Cross-stitch Kit,"<p>Hi5 Craft Maker Cross-stitch Kit with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From Hi5.</p>","kit, activity, gift, hi5, Art & Craft"
incredible-but-true-bugs-insects,Incredible But True — Bugs & Insects Book,<p>Incredible But True — Bugs & Insects Book — facts and fun between two covers.</p><p>A lovely gift for curious readers. From Hi5.</p>,"book, reading, kids, hi5, Notebooks & Books"
incredible-but-true-space,Incredible But True — Space Book,<p>Incredible But True — Space Book — facts and fun between two covers.</p><p>A lovely gift for curious readers. From Hi5.</p>,"book, reading, kids, hi5, Notebooks & Books"
incredible-but-true-animals,Incredible But True — Animals Book,<p>Incredible But True — Animals Book — facts and fun between two covers.</p><p>A lovely gift for curious readers. From Hi5.</p>,"book, reading, kids, hi5, Notebooks & Books"
incredible-but-true-dinasours,Incredible But True — Dinosaurs Book,<p>Incredible But True — Dinosaurs Book — facts and fun between two covers.</p><p>A lovely gift for curious readers. From Hi5.</p>,"book, reading, kids, hi5, Notebooks & Books"
naruto-gift-box,Naruto Stationery Gift Box,"<p>Naruto Stationery Gift Box — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From Hi5.</p>","gift set, gift, bundle, hi5, Art & Craft"
preschool,Hi5 Preschool Activity Book — Style 1,"<p>Hi5 Preschool Activity Book packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Notebooks & Books"
preschool-2,Hi5 Preschool Activity Book — Style 2,"<p>Hi5 Preschool Activity Book packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Notebooks & Books"
preschool-3,Hi5 Preschool Activity Book — Style 3,"<p>Hi5 Preschool Activity Book packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Notebooks & Books"
preschool-4,Hi5 Preschool Activity Book — Style 4,"<p>Hi5 Preschool Activity Book packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Notebooks & Books"
preschool-5,Hi5 Preschool Activity Book — Style 5,"<p>Hi5 Preschool Activity Book packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Notebooks & Books"
preschool-6,Hi5 Preschool Activity Book — Style 6,"<p>Hi5 Preschool Activity Book packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Hi5.</p>","activity, kids, learning, hi5, Notebooks & Books"
how-viruses-work,How Viruses Work — Science Kit,"<p>How Viruses Work — Science Kit — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>","science kit, stem, kids, educational, hi5, Learning & Activity"
how-buoyancy-works,How Buoyancy Works — Science Kit,"<p>How Buoyancy Works — Science Kit — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>","science kit, stem, kids, educational, hi5, Learning & Activity"
how-inertia-works,How Inertia Works — Science Kit,"<p>How Inertia Works — Science Kit — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Hi5.</p>","science kit, stem, kids, educational, hi5, Learning & Activity"
bandit-ball-and-color-vision,Bandit Ball & Colour Vision Magic Trick,"<p>Bandit Ball & Colour Vision Magic Trick packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Magic.</p>","activity, kids, learning, magic, Learning & Activity"
card-tricks,Card Tricks Magic Set,"<p>Card Tricks Magic Set for writing, printing and craft.</p><p>A useful stack to keep within arm's reach. From Magic.</p>","paper, office, craft, magic, Learning & Activity"
color-blook-escape,Colour Block Escape Magic Trick,"<p>Colour Block Escape Magic Trick packed with things to do, colour and learn.</p><p>Keeps young minds busy on quiet afternoons and long car rides. From Magic.</p>","activity, kids, learning, magic, Learning & Activity"
